Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
1	NCT01232374	Nimotuzumab in Combination With Chemoradiation for Local Advanced Esophageal Squamous Cell Carcinoma	Recruiting	No Results Available	Local Advanced Esophageal Squamous Cell Carcinoma	"Drug: Placebo, Radiotherapy and Chemotherapy|Drug: Nimotuzumab, Radiotherapy and Chemotherapy"	"Biotech Pharmaceutical Co., Ltd."	Both	Adult|Senior	Phase 2	144	Other	Interventional	"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)"	BT-ESO-1001	12-Oct-10	Aug-10	Feb-14	1-Nov-10	Jul-10	No Study Results Posted	null	Feb-11	Response rate of Nimotuzumab combined with chemo-irradiation|1-yr overall survivals|2-yr overall survival|3-yr overall survival|Local progression-free survival|Disease progression-free survival|Distant metastasis rate|Number and grade of Participants with Adverse Events|Quality of life	http://ClinicalTrials.gov/show/NCT01232374
2	NCT02384811	Phase II Study of Extensive Clinical Target Volumes in Postoperative Radiotherapy for Esophageal Squamous Cell Carcinoma	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Radiation: radiation	Fudan University	Both	Adult|Senior	Phase 2	74	Other	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	2014-86-882	2-Mar-15	Dec-14	Dec-19	9-Mar-15	Mar-15	No Study Results Posted	null	Dec-17	Local control rate|Overall survival|Safety: Frequencies of treatment-related adverse event categories by NCI-CTC	http://ClinicalTrials.gov/show/NCT02384811
3	NCT01551589	Elective or Prophylactic Nodal Irradiation for Esophageal Cancer	"Active, not recruiting"	No Results Available	Esophageal Squamous Cell Carcinoma	Radiation: docetaxel and cisplatin  concurrent chemoradiotherapy|Radiation: docetaxel and cisplatin	LANG Jin-yi|The Second People's Hospital of Sichuan	Both	Adult|Senior	Phase 3	320	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	CSWOG0001|BT-IST-SCCHN-037	4-Mar-12	Mar-12	Sep-15	8-Mar-12	Mar-12	No Study Results Posted	ENI or PNI	Sep-14	Local control rate/ Inside irrational field recurrence rate|3-year Overall survival(OS)|3-year Disease-free survival|Quality of life(QoL)|Safety and Tolerability	http://ClinicalTrials.gov/show/NCT01551589
4	NCT02123381	Changes in Tumor Tissue and Serum Biomarkers Before and After Cetuximab Combined With Preoperative Radiotherapy in Locally Advanced Thoracic Esophageal Squamous Cell Carcinoma	Recruiting	No Results Available	Locally Advanced Thoracic Middle-lower Segment Esophageal Squamous Cell Carcinoma	Radiation: preoperative radiotherapy|Drug: cetuximab	"Sichuan Cancer Hospital and Research Institute|Daping Hospital and the Research Institute of Surgery of the Third Military Medical University|Affiliated Tumor Hospital of Guangzhou Medical University|Southwest Hospital, China|Xinqiao Hospital of Chongqing"	Both	Adult	Phase 2	100	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	scch2014019	13-Apr-14	Apr-14	null	7-Dec-14	Apr-14	No Study Results Posted	null	Apr-17	Expression of Survivin protein in Esophageal Squamous Cell Carcinoma before and after Radiotherapy|Expression of p53 in Esophageal Squamous Cell Carcinoma before and after Radiotherapy|changes of serum vascular endothelial growth factor（VEGF）level before and after radiotherapy|Quality of life (QOL)|Overall survival|PFS（progression-free survival）|local control rate（LCR）|Pathological remission|grade 3-5 adverse events	http://ClinicalTrials.gov/show/NCT02123381
5	NCT02272699	Neoadjuvant Treatment of Nimotuzumab With Chemotherapy or Radiotherapy in Resectable Esophageal Squamous Cell Carcinoma	Not yet recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Drug: Nimotuzumab|Drug: Paclitaxel|Drug: Cisplatin|Radiation: Radiation|Procedure: Surgery	Peking University	Both	Adult	Phase 2|Phase 3	195	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	ESCC002	11-Oct-14	Nov-14	Dec-17	21-Oct-14	Oct-14	No Study Results Posted	null	Dec-16	Disease-free survival|Overall survival|Pathological complete response of neoadjuvant treatment|The R0 resection rate|Numbers of adverse events and the degree of each adverse events according to the NCI CTCAE 4.0 criteria.	http://ClinicalTrials.gov/show/NCT02272699
6	NCT01688700	Study of Nimotuzumab in Combination With Neoadjuvant Chemotherapy for Resectable Esophageal Squamous Cell Carcinoma	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma Resectable	Drug: Nimotuzumab combined with paclitaxel and cisplatin	Zhejiang Cancer Hospital	Both	Adult|Senior	Phase 2	60	Other	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	NimoESCC	16-Sep-12	Sep-12	Sep-17	19-Sep-12	Sep-12	No Study Results Posted	null	Sep-13	Pathology complete remission rate|R0 resection rate|objective response rate|overall survival|tolerability and safety|Quality of life	http://ClinicalTrials.gov/show/NCT01688700
7	NCT01591135	A Phase III Study of Comparing Paclitaxel Plus 5-Fluorouracil Versus Cisplatin Plus 5-Fluorouracil in Chemoradiotherapy for Locally Advanced Esophageal Carcinoma	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Drug: Paclitaxel plus 5-fluorouracil|Drug: Cisplatin plus 5-fluorouracil|Radiation: Radiation therapy|Radiation: Radiation therapy	Fudan University	Both	Adult|Senior	Phase 3	436	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	ESO2012-01	18-Apr-12	Apr-12	Apr-17	2-May-12	May-12	No Study Results Posted	null	Apr-14	1-yr overall survivals|2-yr overall survival|3-yr overall survival|Disease progression-free survival|Local progression-free survival|Number and grade of Participants with Adverse Events	http://ClinicalTrials.gov/show/NCT01591135
8	NCT01258192	Neoadjuvant Chemotherapy With Nab-paclitaxel Plus Cisplatin for Stage Ⅱ-Ⅲ Esophageal Cancer Patients	Completed	No Results Available	Esophageal Squamous Cell Carcinoma	Drug: albumin-bound  paclitaxel plus cisplatin	"Zhejiang Cancer Hospital|Second Affiliated Hospital, School of Medicine, Zhejiang University"	Both	Adult|Senior	Phase 2	35	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ZhejiangCH-ESCC-01	3-Dec-10	Jan-11	Oct-12	28-Jul-14	Jul-14	No Study Results Posted	nabPCESCC	Oct-12	response to induction therapy|rate of complete pathological response|R0 resection rate.|3 years disease free and overall survival|safety and tolerability	http://ClinicalTrials.gov/show/NCT01258192
9	NCT01402180	Chemoradiation With or Without Nimotuzumab in Treating Esophageal Cancer Patients Who Suffer With Recurrence in Regional Lymph Nodes After Esophagectomy	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Biological: Nimotuzumab|Radiation: Radiation therapy|Radiation: radiation therapy|Drug: chemotherapy|Drug: chemotherapy	"Fudan University|Shanghai Chest Hospital|Shanghai Pulmonary Hospital, Shanghai, China|RenJi Hospital|Shanghai First People's Hospital"	Both	Adult|Senior	Phase 2|Phase 3	128	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	2010ESO_FU	25-Jul-11	Dec-10	Dec-15	25-Jul-11	Nov-10	No Study Results Posted	Nimotuzumab	Dec-13	Local control|Overall survival|Adverse Events	http://ClinicalTrials.gov/show/NCT01402180
10	NCT01391572	A Trial Estimating The Optimal Radiation Volume Of Postsurgical Radiation For Patients With Esophageal Cancer	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Radiation: enlarge irradiation volume|Radiation: Small volume radiation|Drug: cisplatin|Drug: fluorouracil	"Fudan University|The First Affiliated Hospital of Soochow University|NANTONG TUMOR HOSPITAL|Jiangsu Cancer Institute & Hospital|Affiliated Hospital of Jiangsu University|Zhejiang Cancer Hospital|Wenzhou Medical University|Zhejiang University|The First Affiliated Hospital of Anhui Medical University|Anhui Provincial Hospital|Fujian Cancer Hospital|Shanghai Chest Hospital|Shanghai Pulmonary Hospital, Shanghai, China|RenJi Hospital"	Both	Adult|Senior	Phase 2	300	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	2011ESO_FU_01	8-Jul-11	Apr-11	null	20-Jul-11	Mar-11	No Study Results Posted	null	Dec-13	Survival|Safety and Tolerability|Failure pattern	http://ClinicalTrials.gov/show/NCT01391572
